Ciudad,Provincia,Producto_Regional,Producción_Toneladas,Índice_Industrialización
Sandia,Sandia,Oca,8201,9.4
Ollachea,Carabaya,Maíz,29468,7.9
Santa Rosa,El Collao,Quinua,17477,5.9
Tiquillaca,Puno,Tuna,4996,2.6
Ilave,El Collao,Tarwi,1861,3.2
Desaguadero,Chucuito,Kiwicha,4852,2.7
Puno,Puno,Trigo,18484,6.7
Palca,Lampa,Café,5105,8.0
Ayaviri,Melgar,Cacao,5607,8.9
Quilcapuncu,San Antonio de Putina,Tarwi,9205,6.4
Desaguadero,Chucuito,Cacao,7795,4.6
San Antonio,Puno,Cebolla,3355,8.1
Conima,Moho,Trucha,1940,8.9
Vilquechico,Huancané,Olluco,2609,4.3
Huacullani,Chucuito,Miel,1315,7.0
Juli,Chucuito,Lácteos,2740,3.6
Muñani,Azángaro,Fresa,2091,5.9
Santa Rosa,El Collao,Tarwi,5277,6.6
Tilali,Moho,Kañiwa,3082,4.8
Pucará,Lampa,Cebada,12702,7.9
Sandia,Sandia,Cacao,7384,7.8
Mañazo,Puno,Cebada,18582,9.3
Asillo,Azángaro,Trigo,11661,3.5
Taraco,Huancané,Maca,3714,7.8
Muñani,Azángaro,Fresa,3612,3.8
Huancané,Huancané,Maíz,16388,8.5
Ilave,El Collao,Tarwi,4029,9.0
Huancané,Huancané,Olluco,5938,6.7
San Antón,Azángaro,Fresa,3825,3.5
Quilcapuncu,San Antonio de Putina,Cebolla,14892,3.0
Orurillo,Melgar,Maíz,17690,9.5
Crucero,Carabaya,Trucha,7851,4.8
Sandia,Sandia,Tuna,1489,3.5
Nuñoa,Melgar,Carne de alpaca,1026,9.1
San Juan del Oro,Sandia,Lácteos,7591,6.4
Pomata,Chucuito,Cebolla,14260,2.6
Pedro Vilca Apaza,San Antonio de Putina,Fresa,2126,3.3
Capachica,Puno,Kiwicha,4116,4.4
San Antón,Azángaro,Olluco,7658,9.3
Yunguyo,Yunguyo,Ajo,5096,4.8
Asillo,Azángaro,Quinua,4949,8.2
Arapa,Azángaro,Trucha,6459,5.3
Tiquillaca,Puno,Carne de llama,3900,9.4
Cabanilla,Lampa,Trigo,3478,7.6
Azángaro,Azángaro,Kiwicha,8012,6.0
Ananea,San Antonio de Putina,Maíz,11041,4.6
Saman,Azángaro,Carne de llama,1028,9.5
Putina,San Antonio de Putina,Café,5074,5.9
Macusani,Carabaya,Carne de alpaca,2444,7.9
Quilcapuncu,San Antonio de Putina,Cebada,24463,2.5
Huata,Puno,Fresa,3609,5.6
Saman,Azángaro,Papa,45710,3.7
Chucuito,Puno,Carne de alpaca,1851,5.4
Muñani,Azángaro,Quinua,18081,5.6
Vilquechico,Huancané,Papa,30962,2.9
Ollachea,Carabaya,Kiwicha,8496,5.4
Macusani,Carabaya,Lácteos,12473,3.4
Pomata,Chucuito,Carne de alpaca,4309,7.5
Huancané,Huancané,Cacao,4790,6.5
Juliaca,San Román,Trucha,6889,8.2
Tilali,Moho,Kiwicha,4684,9.3
Orurillo,Melgar,Cacao,6670,8.1
Phara,Sandia,Carne de llama,3316,5.5
Vilquechico,Huancané,Kañiwa,934,8.4
Antauta,Melgar,Carne de alpaca,5288,8.4
Juliaca,San Román,Tarwi,5224,9.2
Tilali,Moho,Tarwi,8596,2.6
Pilcuyo,El Collao,Ajo,4552,6.2
Vilquechico,Huancané,Miel,2063,2.3
Achaya,Azángaro,Cebada,6616,8.2
Copani,Yunguyo,Cacao,5630,8.5
Coata,Puno,Tuna,3952,3.8
Azángaro,Azángaro,Trigo,20445,6.5
Unicachi,Yunguyo,Tarwi,8457,8.7
Pucará,Lampa,Trucha,1792,5.9
Ilave,El Collao,Miel,1333,8.7
Moho,Moho,Miel,1498,9.1
Ollachea,Carabaya,Olluco,4424,7.0
Phara,Sandia,Maíz,17648,9.1
Pucará,Lampa,Trucha,4990,5.5
Pomata,Chucuito,Tarwi,1750,7.9
Tilali,Moho,Tuna,4493,6.1
Tilali,Moho,Carne de llama,2557,8.3
Capachica,Puno,Kañiwa,814,3.4
Ilave,El Collao,Cacao,1754,6.4
San Juan del Oro,Sandia,Kañiwa,4226,8.0
Orurillo,Melgar,Tarwi,3938,7.4
Desaguadero,Chucuito,Trucha,6359,9.3
Tiquillaca,Puno,Café,1576,8.0
Sandia,Sandia,Miel,2281,2.6
Nuñoa,Melgar,Carne de alpaca,4176,6.0
Huata,Puno,Oca,6248,3.7
Vilque,Puno,Café,7580,4.1
Tiquillaca,Puno,Carne de alpaca,2155,8.5
Tilali,Moho,Tarwi,9246,8.9
Juli,Chucuito,Kañiwa,7251,7.8
Unicachi,Yunguyo,Kañiwa,1300,4.9
Ayaviri,Melgar,Trigo,3841,8.2
Vilquechico,Huancané,Trucha,3378,2.1
Ananea,San Antonio de Putina,Cebada,18547,8.1
San Gabán,Carabaya,Oca,3930,6.9
Nuñoa,Melgar,Ajo,3082,6.5
Phara,Sandia,Maca,3871,7.0
San Antonio,Puno,Quinua,5902,6.6
Pilcuyo,El Collao,Café,9726,2.0
Huata,Puno,Carne de llama,4564,2.5
Arapa,Azángaro,Cacao,2522,3.8
Antauta,Melgar,Café,3987,2.4
Macusani,Carabaya,Papa,44402,2.0
Asillo,Azángaro,Cebolla,1146,4.6
Achaya,Azángaro,Papa,38551,8.0
Juli,Chucuito,Kañiwa,1886,2.6
Ayaviri,Melgar,Cebada,20731,4.3
Pucará,Lampa,Cebolla,3750,7.5
Muñani,Azángaro,Trigo,14533,3.1
Capachica,Puno,Carne de llama,3786,3.9
San Antonio,Puno,Fresa,1197,5.2
Tilali,Moho,Papa,38561,8.1
Vilquechico,Huancané,Fresa,443,2.0
Chucuito,Puno,Ajo,2070,5.0
Moho,Moho,Fresa,3219,2.6
Yanahuaya,Sandia,Tarwi,9813,7.7
San Antonio,Puno,Cebolla,3274,7.1
Ananea,San Antonio de Putina,Kañiwa,1148,9.3
Ilave,El Collao,Carne de llama,1748,6.4
Huata,Puno,Maíz,17011,1.6
Muñani,Azángaro,Quinua,11181,1.6
Unicachi,Yunguyo,Café,3597,8.0
Palca,Lampa,Cebolla,11433,7.5
Desaguadero,Chucuito,Oca,9824,3.2
Juli,Chucuito,Ajo,5671,5.7
Yunguyo,Yunguyo,Maca,3162,3.2
Phara,Sandia,Tuna,4069,5.7
Yanahuaya,Sandia,Kiwicha,2724,5.8
San Antonio,Puno,Carne de alpaca,2346,8.6
Juliaca,San Román,Papa,28731,1.9
Tiquillaca,Puno,Kañiwa,1688,4.3
Palca,Lampa,Maca,2472,4.3
Macusani,Carabaya,Olluco,3490,5.8
Capaso,El Collao,Quinua,14680,7.7
Yanahuaya,Sandia,Papa,42140,9.4
Ayaviri,Melgar,Maíz,22953,8.3
San Gabán,Carabaya,Lácteos,13200,3.0
San Gabán,Carabaya,Cebada,10102,7.8
Azángaro,Azángaro,Maca,4301,8.3
Conima,Moho,Olluco,4578,5.6
Desaguadero,Chucuito,Carne de alpaca,3635,2.8
Chucuito,Puno,Cacao,4515,7.0
Huacullani,Chucuito,Lácteos,11216,4.3
Putina,San Antonio de Putina,Cebada,16662,1.9
Taraco,Huancané,Maíz,8046,4.0
Pichacani,Puno,Café,4060,5.8
Yunguyo,Yunguyo,Carne de alpaca,5920,1.9
Pichacani,Puno,Lácteos,3180,2.1
Pedro Vilca Apaza,San Antonio de Putina,Kiwicha,3004,7.7
San Gabán,Carabaya,Tuna,4667,7.2
Phara,Sandia,Trucha,3977,3.8
Huancané,Huancané,Miel,577,4.9
Nuñoa,Melgar,Tuna,3867,5.6
Pilcuyo,El Collao,Carne de llama,2478,8.9
Desaguadero,Chucuito,Ajo,5475,5.1
Desaguadero,Chucuito,Trigo,6679,7.1
Quilcapuncu,San Antonio de Putina,Papa,11204,5.1
Coata,Puno,Maca,6470,8.6
Cabanilla,Lampa,Oca,3926,4.7
Vilque,Puno,Cebada,12511,3.8
Achaya,Azángaro,Fresa,2166,7.9
Macusani,Carabaya,Cebolla,7933,7.9
Tiquillaca,Puno,Café,4091,5.8
Vilque,Puno,Cacao,6054,3.2
Mañazo,Puno,Cebolla,12852,8.9
Conima,Moho,Kañiwa,2980,2.3
Juli,Chucuito,Kiwicha,1612,9.6
San Antón,Azángaro,Kañiwa,1677,9.2
Capaso,El Collao,Trigo,23601,6.2
Asillo,Azángaro,Trucha,7652,8.0
Lampa,Lampa,Papa,47453,3.6
San Juan del Oro,Sandia,Carne de alpaca,940,8.3
Chucuito,Puno,Carne de alpaca,4192,9.3
San Juan del Oro,Sandia,Cebada,15817,8.6
Chucuito,Puno,Maca,2795,2.2
Orurillo,Melgar,Trigo,14701,3.2
Antauta,Melgar,Tarwi,3344,4.2
San Gabán,Carabaya,Quinua,5681,5.6
Juli,Chucuito,Kiwicha,11300,1.7
Desaguadero,Chucuito,Kiwicha,8135,7.6
Yunguyo,Yunguyo,Quinua,4668,6.4
Antauta,Melgar,Tarwi,7933,6.9
Yanahuaya,Sandia,Carne de alpaca,5216,8.4
Unicachi,Yunguyo,Carne de llama,834,5.0
Tilali,Moho,Lácteos,3131,1.9
Cabanilla,Lampa,Quinua,18541,5.5
San Antonio,Puno,Cacao,8307,2.5
Mañazo,Puno,Maca,2602,4.3
Taraco,Huancané,Café,3788,9.3
Macusani,Carabaya,Café,2280,8.5
Pucará,Lampa,Kiwicha,7540,3.5
Yunguyo,Yunguyo,Ajo,2182,4.0
Quilcapuncu,San Antonio de Putina,Quinua,13093,3.1
Arapa,Azángaro,Carne de alpaca,2156,7.6
Antauta,Melgar,Miel,1339,1.5
Huancané,Huancané,Cebolla,10126,4.8
Pucará,Lampa,Miel,942,8.5
Sandia,Sandia,Café,3498,9.3
Pichacani,Puno,Maca,3994,8.0
Puno,Puno,Carne de llama,645,7.0
Putina,San Antonio de Putina,Papa,41218,5.4
Yunguyo,Yunguyo,Carne de llama,2071,2.6
Pedro Vilca Apaza,San Antonio de Putina,Trucha,5632,5.8
Tiquillaca,Puno,Maca,5685,7.2
Juliaca,San Román,Oca,7202,5.9
Orurillo,Melgar,Miel,1453,4.3
Yanahuaya,Sandia,Maíz,13248,4.0
Puno,Puno,Cebolla,11553,8.4
Moho,Moho,Café,1041,6.3
San Gabán,Carabaya,Café,6050,6.5
Achaya,Azángaro,Maíz,17783,2.8
Santa Rosa,El Collao,Carne de alpaca,5675,3.4
Pilcuyo,El Collao,Olluco,8385,8.0
Ayaviri,Melgar,Carne de llama,1291,3.5
Huancané,Huancané,Papa,37606,6.8
Macusani,Carabaya,Quinua,7529,1.9
Acora,Puno,Kañiwa,1260,7.3
San Antón,Azángaro,Trucha,1352,1.6
Unicachi,Yunguyo,Trigo,22781,4.4
Huata,Puno,Maíz,5665,2.9
Lampa,Lampa,Maíz,10429,4.1
Santa Rosa,El Collao,Papa,41322,2.1
Quilcapuncu,San Antonio de Putina,Papa,49295,7.9
Conima,Moho,Kiwicha,7037,4.5
Desaguadero,Chucuito,Trucha,6978,6.7
Pucará,Lampa,Carne de alpaca,3203,6.7
Juliaca,San Román,Ajo,4363,2.6
Copani,Yunguyo,Carne de alpaca,4812,4.8
Phara,Sandia,Lácteos,13735,3.1
Mañazo,Puno,Lácteos,10415,5.0
Capachica,Puno,Miel,640,6.5
Nuñoa,Melgar,Papa,42449,3.5
Pichacani,Puno,Papa,21358,4.0
San Juan del Oro,Sandia,Carne de alpaca,5740,1.4
Cabanilla,Lampa,Kiwicha,7408,2.8
San Antón,Azángaro,Fresa,1974,9.0
Unicachi,Yunguyo,Trucha,4427,3.9
Antauta,Melgar,Cacao,3967,7.2
Nuñoa,Melgar,Fresa,2119,8.6
Orurillo,Melgar,Carne de llama,3463,3.4
Puno,Puno,Maíz,12541,8.8
Palca,Lampa,Ajo,2906,1.9
San Gabán,Carabaya,Cebolla,12142,4.5
Antauta,Melgar,Quinua,3897,7.6
Yunguyo,Yunguyo,Oca,1021,3.4
Palca,Lampa,Trigo,3005,7.3
San Gabán,Carabaya,Papa,20632,9.7
Muñani,Azángaro,Papa,19815,3.6
Yunguyo,Yunguyo,Kañiwa,5271,2.7
Phara,Sandia,Lácteos,10382,6.2
Macusani,Carabaya,Olluco,5854,9.7
San Gabán,Carabaya,Café,8665,2.4
Ananea,San Antonio de Putina,Tarwi,3405,1.9
Ayaviri,Melgar,Tarwi,1349,8.1
Moho,Moho,Kiwicha,5365,5.7
Huata,Puno,Maíz,15129,6.0
Juli,Chucuito,Papa,30144,2.2
Tilali,Moho,Fresa,540,6.7
Capaso,El Collao,Maca,1186,9.4
Coata,Puno,Trigo,8756,3.0
Ayaviri,Melgar,Trigo,4273,3.1
Quilcapuncu,San Antonio de Putina,Trigo,23386,8.4
Unicachi,Yunguyo,Carne de alpaca,1644,4.8
Cabanilla,Lampa,Trigo,16635,9.6
Achaya,Azángaro,Cebolla,4108,1.5
Pilcuyo,El Collao,Kañiwa,8130,7.4
Muñani,Azángaro,Papa,38649,6.5
Cabanilla,Lampa,Kiwicha,6837,8.9
Palca,Lampa,Carne de alpaca,5437,3.5
Orurillo,Melgar,Café,3235,4.5
Achaya,Azángaro,Olluco,3490,8.0
Capachica,Puno,Oca,3753,1.8
Antauta,Melgar,Kiwicha,3854,3.7
Pucará,Lampa,Maca,3582,3.4
Asillo,Azángaro,Trigo,19230,2.6
Mañazo,Puno,Ajo,4868,5.3
Palca,Lampa,Fresa,860,2.7
Conima,Moho,Maca,5860,2.8
Macusani,Carabaya,Maca,3042,5.4
Phara,Sandia,Cacao,3690,6.4
Nuñoa,Melgar,Kañiwa,3405,2.8
Azángaro,Azángaro,Cebada,14015,4.1
Sandia,Sandia,Tarwi,7761,6.7
Juliaca,San Román,Quinua,4453,3.7
Conima,Moho,Oca,3771,7.8
Orurillo,Melgar,Carne de alpaca,3363,4.9
San Juan del Oro,Sandia,Oca,9263,6.7
Conima,Moho,Ajo,521,2.5
Lampa,Lampa,Kiwicha,3819,2.9
Copani,Yunguyo,Cacao,2091,7.7
Muñani,Azángaro,Quinua,6296,9.0
Taraco,Huancané,Kañiwa,4796,6.0
Taraco,Huancané,Kiwicha,7140,6.4
Phara,Sandia,Tuna,1164,9.4
Chucuito,Puno,Cebolla,3427,8.2
Capaso,El Collao,Maca,1897,1.7
Macusani,Carabaya,Carne de llama,3123,9.6
Sandia,Sandia,Cebolla,5744,2.4
Capachica,Puno,Cebolla,9298,6.4
Chucuito,Puno,Trucha,5894,1.9
Coata,Puno,Cebada,15964,2.1
Asillo,Azángaro,Fresa,1752,8.0
Capaso,El Collao,Quinua,7691,5.1
Ollachea,Carabaya,Maca,4124,3.2
Moho,Moho,Cebada,24469,7.8
Pucará,Lampa,Cebolla,5090,6.4
Putina,San Antonio de Putina,Fresa,1930,6.0
Coata,Puno,Kañiwa,5180,7.4
San Antonio,Puno,Trigo,18692,6.6
Putina,San Antonio de Putina,Papa,35171,2.0
Acora,Puno,Oca,3751,1.7
Sandia,Sandia,Trucha,2592,9.1
San Antón,Azángaro,Kiwicha,10114,5.7
Muñani,Azángaro,Quinua,17082,2.6
Vilquechico,Huancané,Cebada,22472,8.4
Pedro Vilca Apaza,San Antonio de Putina,Maíz,14666,5.2
Ilave,El Collao,Papa,10891,8.8
Orurillo,Melgar,Miel,1090,3.7
Putina,San Antonio de Putina,Miel,731,8.5
Taraco,Huancané,Tarwi,4038,7.3
Acora,Puno,Oca,2434,6.0
Macusani,Carabaya,Olluco,4988,1.7
Phara,Sandia,Tarwi,2881,5.4
Crucero,Carabaya,Carne de alpaca,2085,2.7
Cabanilla,Lampa,Tarwi,1547,3.7
Juli,Chucuito,Carne de alpaca,4038,2.8
Asillo,Azángaro,Olluco,2182,5.2
Pichacani,Puno,Kañiwa,1313,4.3
Taraco,Huancané,Cebada,19596,1.8
Pedro Vilca Apaza,San Antonio de Putina,Lácteos,13114,7.0
Antauta,Melgar,Quinua,10438,6.2
Capachica,Puno,Kiwicha,1892,4.7
San Antonio,Puno,Trucha,5589,5.7
Antauta,Melgar,Trigo,15291,8.0
San Juan del Oro,Sandia,Tarwi,4019,6.9
Cabanilla,Lampa,Carne de llama,919,5.9
Achaya,Azángaro,Carne de llama,3891,5.0
Chucuito,Puno,Maca,1624,9.5
Mañazo,Puno,Miel,2167,5.5
San Gabán,Carabaya,Quinua,7670,5.1
Lampa,Lampa,Maca,4457,7.8
Pucará,Lampa,Cacao,3861,8.9
Arapa,Azángaro,Quinua,14044,3.3
Ananea,San Antonio de Putina,Kiwicha,8970,2.7
Vilque,Puno,Trucha,1753,4.0
Cabanilla,Lampa,Olluco,4593,5.8
Pucará,Lampa,Kiwicha,10383,6.0
San Antón,Azángaro,Olluco,3366,2.4
Azángaro,Azángaro,Kañiwa,3604,9.1
Nuñoa,Melgar,Tuna,3924,5.9
Nuñoa,Melgar,Maíz,5471,2.9
Tiquillaca,Puno,Tarwi,3687,4.0
San Antonio,Puno,Lácteos,8505,6.3
Vilque,Puno,Cebolla,11134,2.1
Nuñoa,Melgar,Olluco,894,7.6
Azángaro,Azángaro,Miel,1587,2.3
Unicachi,Yunguyo,Tarwi,9292,2.0
Macusani,Carabaya,Ajo,5057,4.8
Macusani,Carabaya,Carne de llama,1977,2.6
Yunguyo,Yunguyo,Miel,1935,5.7
Moho,Moho,Kiwicha,2064,1.9
Cabanilla,Lampa,Ajo,5950,6.5
Moho,Moho,Quinua,5085,7.1
Muñani,Azángaro,Miel,460,3.3
Azángaro,Azángaro,Trigo,6409,1.7
Juliaca,San Román,Kiwicha,8276,5.9
Yanahuaya,Sandia,Kiwicha,8477,3.7
Conima,Moho,Trigo,23681,9.1
Pucará,Lampa,Carne de alpaca,1546,4.8
Mañazo,Puno,Café,3538,3.0
Arapa,Azángaro,Miel,1608,6.7
Capaso,El Collao,Cebolla,12883,6.8
Quilcapuncu,San Antonio de Putina,Tuna,4924,1.8
Coata,Puno,Fresa,1999,9.5
Taraco,Huancané,Carne de llama,4112,6.5
Cabanilla,Lampa,Carne de alpaca,3889,8.9
Capachica,Puno,Fresa,3481,6.3
Phara,Sandia,Quinua,6891,5.3
Tilali,Moho,Oca,3098,4.3
Pichacani,Puno,Oca,1230,8.2
Conima,Moho,Cacao,2954,1.5
Nuñoa,Melgar,Café,1445,4.0
Juliaca,San Román,Maca,4807,4.1
Chucuito,Puno,Cebolla,12760,9.5
Saman,Azángaro,Olluco,4586,5.6
Arapa,Azángaro,Cebada,13783,2.2
Palca,Lampa,Kañiwa,3168,3.5
Pedro Vilca Apaza,San Antonio de Putina,Fresa,1844,2.3
Unicachi,Yunguyo,Papa,42473,4.1
Moho,Moho,Olluco,2398,3.7
Nuñoa,Melgar,Maca,1399,7.5
Ilave,El Collao,Tuna,4703,8.5
Quilcapuncu,San Antonio de Putina,Tarwi,2399,3.2
Taraco,Huancané,Kañiwa,7614,8.4
Macusani,Carabaya,Tuna,2907,6.2
Mañazo,Puno,Carne de llama,685,5.2
Mañazo,Puno,Trucha,1398,2.4
Moho,Moho,Miel,2128,5.1
Yanahuaya,Sandia,Trigo,18438,7.3
Pilcuyo,El Collao,Cacao,5547,7.1
Palca,Lampa,Cacao,4539,9.5
Juli,Chucuito,Kañiwa,6697,2.4
San Antonio,Puno,Trigo,16099,5.0
Crucero,Carabaya,Maíz,20312,9.7
Ilave,El Collao,Papa,48633,4.2
Yanahuaya,Sandia,Kiwicha,6112,3.1
Copani,Yunguyo,Maíz,8595,3.7
Asillo,Azángaro,Carne de alpaca,2412,3.7
Juliaca,San Román,Cacao,3049,4.8
Ananea,San Antonio de Putina,Olluco,957,2.8
Pilcuyo,El Collao,Cebada,10560,5.1
Quilcapuncu,San Antonio de Putina,Kiwicha,10657,8.6
Yunguyo,Yunguyo,Trigo,17797,4.4
Huata,Puno,Olluco,4726,5.4
Santa Rosa,El Collao,Tuna,2124,8.0
Santa Rosa,El Collao,Miel,1097,4.9
San Antón,Azángaro,Kiwicha,6626,3.9
Ananea,San Antonio de Putina,Oca,9551,9.3
Nuñoa,Melgar,Carne de alpaca,4873,9.6
Yunguyo,Yunguyo,Kiwicha,8379,3.8
Huata,Puno,Fresa,1331,7.3
Azángaro,Azángaro,Olluco,5382,9.6
Conima,Moho,Trucha,3304,6.8
Vilque,Puno,Cebada,6269,9.0
Arapa,Azángaro,Tarwi,7219,4.0
Nuñoa,Melgar,Fresa,1764,6.6
Vilquechico,Huancané,Trigo,4408,5.1
Huacullani,Chucuito,Cebada,17652,3.2
San Antón,Azángaro,Trucha,7542,8.6
Santa Rosa,El Collao,Kañiwa,3214,5.2
Antauta,Melgar,Trigo,18040,3.2
Ollachea,Carabaya,Trigo,13079,9.0
Puno,Puno,Maca,1367,3.3
Yunguyo,Yunguyo,Trucha,2745,6.7
San Antón,Azángaro,Olluco,2403,4.0
Ollachea,Carabaya,Papa,36560,4.7
Orurillo,Melgar,Carne de alpaca,3225,6.1
Cabanilla,Lampa,Papa,42514,3.6
Vilque,Puno,Cacao,5711,8.4
San Gabán,Carabaya,Kiwicha,7300,1.8
San Antonio,Puno,Miel,1913,3.6
Chucuito,Puno,Ajo,3515,7.6
Vilque,Puno,Oca,1689,8.1
Pichacani,Puno,Tuna,3299,8.8
Antauta,Melgar,Cebolla,14415,6.8
Mañazo,Puno,Papa,25524,8.2
Acora,Puno,Miel,2425,5.5
Yanahuaya,Sandia,Ajo,1372,9.6
Tiquillaca,Puno,Cacao,7304,9.7
Chucuito,Puno,Maíz,28943,3.3
Ollachea,Carabaya,Maca,5170,3.4
Antauta,Melgar,Lácteos,11928,1.8
Asillo,Azángaro,Olluco,1792,6.8
Cabanilla,Lampa,Cebada,5143,2.1
Cabanilla,Lampa,Cebolla,2358,4.8
Conima,Moho,Carne de alpaca,3243,4.2
Antauta,Melgar,Papa,42043,1.9
Orurillo,Melgar,Oca,2622,4.9
Unicachi,Yunguyo,Miel,1616,1.7
Huacullani,Chucuito,Kañiwa,5761,4.4
Vilquechico,Huancané,Maca,3205,7.4
Palca,Lampa,Oca,9906,3.6
Asillo,Azángaro,Fresa,2533,3.2
Yanahuaya,Sandia,Cacao,5204,5.8
Quilcapuncu,San Antonio de Putina,Tuna,3211,5.1
Arapa,Azángaro,Papa,39301,4.5
Moho,Moho,Carne de llama,3608,7.9
Yunguyo,Yunguyo,Maíz,18899,5.1
Cabanilla,Lampa,Maíz,7836,2.8
Ilave,El Collao,Cebada,24055,4.9
Chucuito,Puno,Olluco,4651,5.8
Orurillo,Melgar,Miel,1194,6.4
Juli,Chucuito,Miel,749,1.8
Ayaviri,Melgar,Fresa,938,6.8
Huancané,Huancané,Miel,1068,7.8
Acora,Puno,Kiwicha,4538,8.0
Ollachea,Carabaya,Carne de alpaca,4256,3.8
Chucuito,Puno,Ajo,3315,3.3
Copani,Yunguyo,Maca,5411,5.1
San Gabán,Carabaya,Ajo,1722,1.5
Taraco,Huancané,Maíz,21101,9.0
Azángaro,Azángaro,Trigo,17849,4.1
Muñani,Azángaro,Tuna,996,9.1
Pilcuyo,El Collao,Kañiwa,6297,2.9
San Juan del Oro,Sandia,Kañiwa,1445,2.3
San Antonio,Puno,Cebada,21112,6.7
Achaya,Azángaro,Quinua,9637,6.1
